scenario,3M,6M,1Y,2Y,5Y,10Y,30Y
169,3.950750031689241,4.013295184394705,4.168492358364015,4.400477537764895,4.5944113320397575,4.851968082228348,5.286484687817254
170,3.92955983817488,3.9756382937768127,4.142641082861554,4.391702978139214,4.555628293035313,4.773581818750906,5.217196570563702
171,3.9236653436552604,3.944529841983111,4.135111870669018,4.345027246492616,4.4916865325274395,4.744029020334444,5.214764784956388
172,3.925247430646731,3.975352289366198,4.1326810614786575,4.41567125559208,4.61757991109472,4.861673183315809,5.296197405867884
173,3.969738172211797,3.991588871033534,4.1627187049964,4.439401118954922,4.606825476530179,4.807519379800638,5.279453460729232
174,3.9543650418851786,4.01274993568959,4.119804380791223,4.435149015006988,4.591910117174379,4.845937477733522,5.246539766981755
175,3.926952518884958,3.9918450621542503,4.169781714971024,4.412996379866268,4.6020095048185015,4.8652081310574085,5.332386290168257
176,3.919549053251799,3.9838848468551444,4.13484806066071,4.385128036101262,4.5381310678624365,4.784723860787912,5.24663779553944
177,3.968601587352011,4.006738473730841,4.1602353694942975,4.420910025363131,4.622164818505244,4.856276199766761,5.307890321444683
178,3.8899630598574477,3.962507815363658,4.133498694630437,4.33185930058851,4.508338814550102,4.7454929960973695,5.204946223506651
179,3.998302267264113,4.004223724506884,4.175895773410419,4.434601774870773,4.592725466965733,4.813216142622368,5.241228569249644
180,3.947361423126919,3.9938412993770758,4.176539611969697,4.391724635668686,4.560963618396329,4.787626063580497,5.228514733613708
181,3.9546523430239566,3.993989294833478,4.1249039794789795,4.358490845509598,4.517736142312268,4.770894124675637,5.221439471780799
182,3.933750496971387,3.9906640507280478,4.142504279780877,4.363809486609348,4.5270514700785,4.7649943684903855,5.264099813933306
183,3.931396697346301,4.010471920162243,4.1746103635200935,4.412128561940921,4.600179835405798,4.812614988032926,5.292668963619862
184,4.003966229639276,4.0675571257415255,4.2012317151404766,4.478455287721975,4.653275041820397,4.874999622544356,5.333779580721129
185,3.920121015246532,3.986572370178558,4.084544089375179,4.330480943942053,4.4863044976360715,4.722876796657917,5.188078255372137
186,3.963631089255624,4.008963450415824,4.147842214021114,4.399987855385269,4.538769522768222,4.774195186188765,5.178426604711624
187,3.9473376926201436,3.965951871522237,4.112357682375826,4.376697806555012,4.539201499942307,4.817583252038971,5.213047771485943
188,3.991723791304638,4.018136151823013,4.1641830783137594,4.401981563598007,4.59538897549956,4.801964565022793,5.265043251175538
189,3.9075551616497513,4.001612283072474,4.158093629786156,4.407179936851553,4.5857851708968855,4.809483428575296,5.2607577556782115
190,3.961859659498099,4.034379130185961,4.168904229030116,4.413141676586844,4.632155627651489,4.879192297347783,5.329725966457385
191,3.9967030589468244,4.027293573000048,4.207680149277811,4.442182592892796,4.644479303861756,4.8756822245481946,5.330959926917724
192,3.9058686467025265,3.9440592031765282,4.095517518806114,4.350644427678047,4.534717068078313,4.802617444775626,5.262643715485918
193,3.9314320104774954,3.97321318634664,4.123732080293899,4.402802709872352,4.598835993823229,4.8659236783002795,5.338212857195094
194,3.9553769058311596,4.02513629843381,4.176322472186269,4.388398868756007,4.534649673426516,4.761556661412371,5.233356557706125
195,3.938630063786695,4.014784513821578,4.174927856952,4.397744683108877,4.590230434208056,4.829736181238352,5.259921356018799
196,3.973013048973736,4.035092928937079,4.158616533900593,4.385130435869449,4.542176264691577,4.76250386851122,5.257326031072251
197,3.9711148152685314,4.016427273591383,4.170154336071745,4.4001933902150565,4.5574668072900435,4.766543837024526,5.224281340689266
198,3.8728393379778936,3.959722029826757,4.097516808032998,4.376802876054513,4.530598896659695,4.739021567485036,5.187497068493095
199,3.972085882287867,3.9941633653533315,4.1440137198804265,4.359254199216466,4.523505849870894,4.757376550337144,5.180567042797743
200,3.9987574234852645,4.035917596275086,4.175965765271159,4.379740869272416,4.529678152330691,4.782383502019548,5.229066456221572
201,3.947061770420224,3.9877800596460276,4.133763261076626,4.358426704744712,4.530998471878854,4.756127522412248,5.1948883746357915
202,3.959023812918789,3.9947575442100267,4.121776357258869,4.384442150060741,4.540108430623624,4.7532703797932285,5.253179536401833
203,3.9813909034267323,4.01394581556138,4.146498636523112,4.340384564358064,4.48935712376735,4.737019721267479,5.22151019250525
204,3.9628072584168836,4.0089946096893625,4.150057940232145,4.365582882345627,4.574332708290008,4.822615678784074,5.281130153331716
205,3.927788124392681,3.995416137425713,4.10572981033992,4.372800028512354,4.548625377415956,4.784154450752507,5.232481362616432
206,3.924567137407505,3.978199140357812,4.143806047123624,4.446855130908321,4.602445254141806,4.787164006523741,5.229499711635357
207,3.94232734318999,3.969182240951045,4.166223891828075,4.426908801164054,4.61358047496557,4.864410459267824,5.346890249866081
208,3.96920630635403,4.0064823199132835,4.17069165632862,4.400540870375424,4.592786992697597,4.835212341164202,5.27688080737322
209,3.955757558448434,3.9899826559208313,4.107609499234647,4.3151096492798695,4.449584477158923,4.708014670796164,5.188387620685783
210,3.930414700078981,3.995418211572872,4.104004810202274,4.377554921513592,4.542041901090132,4.811678201156381,5.23789932228264
211,3.947975447085872,3.976366117750657,4.1028969072672705,4.37512879461274,4.585565285012221,4.8057695380823615,5.2599795131946046
212,3.988773360296525,4.032754317144833,4.179599274997604,4.4211579062663295,4.613610014719584,4.860513793919436,5.336551145490574
213,3.98202999053559,4.0007849319418245,4.132956008186663,4.3770056004803175,4.5332745434739,4.773356743197303,5.215922851772141
214,3.942190231675421,4.0045084845308105,4.158701633578377,4.411423704201805,4.578526113566057,4.811287386735534,5.228686939887516
215,3.9650321242145354,3.9921202346648723,4.151547530128667,4.401284047149235,4.546525818064243,4.757398800915593,5.210157507933875
216,3.9633149758973776,4.033855403140387,4.192434767248158,4.395648075528378,4.552022107024201,4.753208482650483,5.220182577817363
217,3.94948996719036,4.002612001031025,4.1773389725355425,4.3998282249013965,4.555033841416101,4.752400497103753,5.16990270342311
218,3.9418623701362323,4.022559564690769,4.195732662562217,4.493956238465848,4.683427431679599,4.860326063625585,5.295731203532641
219,3.909839621442011,3.9722541262072504,4.144534451238319,4.380872465934286,4.543132678100171,4.734110316132523,5.192978816903203
220,3.895571104731016,3.999751797344841,4.139776149981194,4.4021820604028585,4.62986470423793,4.863719724890715,5.3244074458018735
221,3.943856151729849,3.985827452934516,4.140149409836564,4.405382391000026,4.558309494643607,4.823403374875665,5.288248196535234
222,3.9592007732196888,4.006233736746076,4.131377156448663,4.410644526508262,4.601528855188261,4.8541018530341615,5.291123178381082
223,3.9528712024445594,4.01864464619094,4.18896538752371,4.454378946367847,4.624449996238179,4.847705328852037,5.3089294610460325
224,3.9458809213651445,4.011178793702981,4.141034073790101,4.4154755380335775,4.5812873592920536,4.790035169134605,5.224023066660421
225,3.971785504044578,4.012495982616272,4.15847318422461,4.39821164341907,4.534207235245823,4.765774706325961,5.204154739035881
226,3.994660111853025,3.9997608035966965,4.150619709668283,4.421986635628816,4.619465830825539,4.8706016567282955,5.308517074145251
227,3.9619228860112883,4.003829232506617,4.138480164187162,4.377302843378906,4.558428335507043,4.802843851042993,5.1971080134306735
228,3.9534457739212256,4.016014120204233,4.17799832270138,4.431694935056509,4.610871210148169,4.81014889091428,5.23902555254306
229,3.9786858264498655,3.993229369367717,4.132093405396276,4.35538293510827,4.557042282135661,4.797551303206976,5.256896412938117
